tags
Aircraft_noise
Alarm
Applause
Appliance_alarm
Baby_cry
Baby_laughter
Bell
Bird_chirp
Bird_honk
Boiling
Bowed_string_instrument
Break
Burp
Car_alarm
Car_backfire
Car_horn
Cat_meow
Chewing
Chicken_Rooster
Child_laughter
Child_sing
Chopping
Civil_defense_siren
Clap
Cooking
Cooking_tools
Cough
Cow
Crowd
Crowd_yell
Dining_tools
Dog_bark
Dog_whine
Door_open_close
Doorbell
Drum
Duck
Emergency_vehicle_siren
Fart
Female_laughter
Female_rap
Female_scream
Female_sing
Female_speech
Female_whisper
Female_yell
Finger_snap
Fire_smoke_alarm
Footstep
Frying
Glass_break
Goat
Guitar
Gunshot
Gunshot_auto
Gunshot_single
Hair_dryer
Hiccup
Humming
Instrument
Kiss
Knock
Laughter
Loud_engine_acceleration
Male_laughter
Male_rap
Male_scream
Male_sing
Male_speech
Male_whisper
Male_yell
Moan
Music
Phone_filter_speech
Phone_vibration
Piano
Pig
Rap
Reversing_beep
Scream
Sheep
Sigh
Sing
Siren
Sneeze
Snore
Speech
Throat_clear
Thud
Tire_squeal
Toilet_flush
Tongue_click
Toothbrush
Tut_tut
Vacuum_cleaner
Water_pour
Water_run
Water_tap
Whisper
Whistle
Wind_noise
Yawn
Yell
Others
